effective_date,added_ticker,added_security,removed_ticker,removed_security,reason,source,source_url,verified_at,confidence,notes,added_original_ticker,removed_original_ticker
2024-12-23,APO,Apollo Global Management,QRVO,Qorvo,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,APO,QRVO
2024-12-23,WDAY,"Workday, Inc.",AMTM,Amentum,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,WDAY,AMTM
2024-12-23,LII,Lennox International,CTLT,Catalent,Novo Holdings A/S acquired Catalent.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,LII,CTLT
2024-09-23,PLTR,Palantir Technologies,AAL,American Airlines Group,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,PLTR,AAL
2024-09-23,DELL,Dell Technologies,ETSY,Etsy,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,DELL,ETSY
2024-09-23,ERIE,Erie Indemnity,BIO,Bio-Rad Laboratories,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,ERIE,BIO
2024-06-24,KKR,KKR,RHI,Robert Half,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,KKR,RHI
2024-06-24,CRWD,CrowdStrike,CMA,Comerica,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,CRWD,CMA
2024-06-24,GDDY,GoDaddy,ILMN,"Illumina, Inc.",Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,GDDY,ILMN
2024-05-08,VST,Vistra,PXD,Pioneer Natural Resources,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,VST,PXD
2024-03-18,SMCI,Supermicro,WHR,Whirlpool Corporation,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,SMCI,WHR
2024-03-18,DECK,Deckers Brands,ZION,Zions Bancorporation,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,DECK,ZION
2023-12-18,UBER,Uber,SEE,Sealed Air,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,UBER,SEE
2023-12-18,JBL,Jabil,ALK,Alaska Air Group,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,JBL,ALK
2023-12-18,BLDR,Builders FirstSource,SEDG,SolarEdge,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,BLDR,SEDG
2020-12-21,TSLA,Tesla,AIV,Apartment Investment & Management,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,TSLA,AIV
2020-10-07,POOL,Pool Corporation,ETFC,E-Trade,Morgan Stanley acquired E*Trade.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,POOL,ETFC
2020-09-21,ETSY,Etsy,HRB,H&R Block,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,ETSY,HRB
2020-06-22,BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,BIO,ADS
2020-05-22,WST,West Pharmaceutical Services,HP,Helmerich & Payne,Market capitalization change.,Wikipedia selected S&P 500 component changes bundled seed,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-06-02,medium,Bundled seed copied from Wikipedia selected changes table because live HTTP fetch can be blocked in CI.,WST,HP
